model,ablation,fold,subset,actual,predicted,count,run_id,generation,configuration_id,representation,window_size_frames,seed,estimators
svm,hierarchical_r0,1,validation,alert,alert,1014,G45__hierarchical_b_w60__svm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,1,validation,alert,fatigue,0,G45__hierarchical_b_w60__svm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,1,validation,alert,distraction,0,G45__hierarchical_b_w60__svm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,1,validation,fatigue,alert,4,G45__hierarchical_b_w60__svm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,1,validation,fatigue,fatigue,0,G45__hierarchical_b_w60__svm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,1,validation,fatigue,distraction,0,G45__hierarchical_b_w60__svm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,1,validation,distraction,alert,162,G45__hierarchical_b_w60__svm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,1,validation,distraction,fatigue,0,G45__hierarchical_b_w60__svm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,1,validation,distraction,distraction,0,G45__hierarchical_b_w60__svm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,1,validation,alert,alert,869,G45__hierarchical_b_w60__lstm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,1,validation,alert,fatigue,2,G45__hierarchical_b_w60__lstm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,1,validation,alert,distraction,143,G45__hierarchical_b_w60__lstm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,1,validation,fatigue,alert,2,G45__hierarchical_b_w60__lstm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,1,validation,fatigue,fatigue,1,G45__hierarchical_b_w60__lstm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,1,validation,fatigue,distraction,1,G45__hierarchical_b_w60__lstm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,1,validation,distraction,alert,90,G45__hierarchical_b_w60__lstm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,1,validation,distraction,fatigue,0,G45__hierarchical_b_w60__lstm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,1,validation,distraction,distraction,72,G45__hierarchical_b_w60__lstm__r0__w60__fold_1__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,2,validation,alert,alert,1054,G45__hierarchical_b_w60__svm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,2,validation,alert,fatigue,0,G45__hierarchical_b_w60__svm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,2,validation,alert,distraction,26,G45__hierarchical_b_w60__svm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,2,validation,fatigue,alert,17,G45__hierarchical_b_w60__svm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,2,validation,fatigue,fatigue,0,G45__hierarchical_b_w60__svm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,2,validation,fatigue,distraction,0,G45__hierarchical_b_w60__svm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,2,validation,distraction,alert,74,G45__hierarchical_b_w60__svm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,2,validation,distraction,fatigue,0,G45__hierarchical_b_w60__svm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,2,validation,distraction,distraction,2,G45__hierarchical_b_w60__svm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,2,validation,alert,alert,907,G45__hierarchical_b_w60__lstm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,2,validation,alert,fatigue,31,G45__hierarchical_b_w60__lstm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,2,validation,alert,distraction,142,G45__hierarchical_b_w60__lstm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,2,validation,fatigue,alert,17,G45__hierarchical_b_w60__lstm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,2,validation,fatigue,fatigue,0,G45__hierarchical_b_w60__lstm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,2,validation,fatigue,distraction,0,G45__hierarchical_b_w60__lstm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,2,validation,distraction,alert,41,G45__hierarchical_b_w60__lstm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,2,validation,distraction,fatigue,3,G45__hierarchical_b_w60__lstm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,2,validation,distraction,distraction,32,G45__hierarchical_b_w60__lstm__r0__w60__fold_2__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,3,validation,alert,alert,962,G45__hierarchical_b_w60__svm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,3,validation,alert,fatigue,0,G45__hierarchical_b_w60__svm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,3,validation,alert,distraction,24,G45__hierarchical_b_w60__svm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,3,validation,fatigue,alert,13,G45__hierarchical_b_w60__svm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,3,validation,fatigue,fatigue,0,G45__hierarchical_b_w60__svm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,3,validation,fatigue,distraction,0,G45__hierarchical_b_w60__svm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,3,validation,distraction,alert,149,G45__hierarchical_b_w60__svm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,3,validation,distraction,fatigue,0,G45__hierarchical_b_w60__svm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
svm,hierarchical_r0,3,validation,distraction,distraction,3,G45__hierarchical_b_w60__svm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,3,validation,alert,alert,810,G45__hierarchical_b_w60__lstm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,3,validation,alert,fatigue,1,G45__hierarchical_b_w60__lstm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
lstm,hierarchical_r0,3,validation,alert,distraction,175,G45__hierarchical_b_w60__lstm__r0__w60__fold_3__seed_42,G45,hierarchical_b_w60,R0,60,42,2
