fold,window_size_frames,subset,actual,predicted,count
1,30,validation,alert,alert,1022
1,30,validation,alert,fatigue,0
1,30,validation,alert,distraction,0
1,30,validation,fatigue,alert,7
1,30,validation,fatigue,fatigue,0
1,30,validation,fatigue,distraction,0
1,30,validation,distraction,alert,165
1,30,validation,distraction,fatigue,0
1,30,validation,distraction,distraction,0
1,30,test,alert,alert,1088
1,30,test,alert,fatigue,0
1,30,test,alert,distraction,0
1,30,test,fatigue,alert,68
1,30,test,fatigue,fatigue,0
1,30,test,fatigue,distraction,0
1,30,test,distraction,alert,379
1,30,test,distraction,fatigue,0
1,30,test,distraction,distraction,0
2,30,validation,alert,alert,1086
2,30,validation,alert,fatigue,0
2,30,validation,alert,distraction,0
2,30,validation,fatigue,alert,20
2,30,validation,fatigue,fatigue,0
2,30,validation,fatigue,distraction,0
2,30,validation,distraction,alert,79
2,30,validation,distraction,fatigue,0
2,30,validation,distraction,distraction,0
2,30,test,alert,alert,1580
2,30,test,alert,fatigue,0
2,30,test,alert,distraction,0
2,30,test,fatigue,alert,0
2,30,test,fatigue,fatigue,0
2,30,test,fatigue,distraction,0
2,30,test,distraction,alert,295
2,30,test,distraction,fatigue,0
2,30,test,distraction,distraction,0
3,30,validation,alert,alert,993
3,30,validation,alert,fatigue,0
3,30,validation,alert,distraction,0
3,30,validation,fatigue,alert,13
3,30,validation,fatigue,fatigue,0
3,30,validation,fatigue,distraction,0
3,30,validation,distraction,alert,152
3,30,validation,distraction,fatigue,0
3,30,validation,distraction,distraction,0
3,30,test,alert,alert,1371
3,30,test,alert,fatigue,0
3,30,test,alert,distraction,0
3,30,test,fatigue,alert,25
3,30,test,fatigue,fatigue,0
3,30,test,fatigue,distraction,0
3,30,test,distraction,alert,117
3,30,test,distraction,fatigue,0
3,30,test,distraction,distraction,0
4,30,validation,alert,alert,1018
4,30,validation,alert,fatigue,0
4,30,validation,alert,distraction,0
4,30,validation,fatigue,alert,20
4,30,validation,fatigue,fatigue,0
4,30,validation,fatigue,distraction,0
4,30,validation,distraction,alert,99
4,30,validation,distraction,fatigue,0
4,30,validation,distraction,distraction,0
4,30,test,alert,alert,960
4,30,test,alert,fatigue,0
4,30,test,alert,distraction,0
4,30,test,fatigue,alert,4
4,30,test,fatigue,fatigue,0
4,30,test,fatigue,distraction,0
4,30,test,distraction,alert,141
4,30,test,distraction,fatigue,0
4,30,test,distraction,distraction,0
1,60,validation,alert,alert,1014
1,60,validation,alert,fatigue,0
1,60,validation,alert,distraction,0
1,60,validation,fatigue,alert,4
1,60,validation,fatigue,fatigue,0
1,60,validation,fatigue,distraction,0
1,60,validation,distraction,alert,162
1,60,validation,distraction,fatigue,0
1,60,validation,distraction,distraction,0
1,60,test,alert,alert,1088
1,60,test,alert,fatigue,0
1,60,test,alert,distraction,0
1,60,test,fatigue,alert,67
1,60,test,fatigue,fatigue,0
1,60,test,fatigue,distraction,0
1,60,test,distraction,alert,379
1,60,test,distraction,fatigue,0
1,60,test,distraction,distraction,0
2,60,validation,alert,alert,1080
2,60,validation,alert,fatigue,0
2,60,validation,alert,distraction,0
2,60,validation,fatigue,alert,17
2,60,validation,fatigue,fatigue,0
2,60,validation,fatigue,distraction,0
2,60,validation,distraction,alert,76
2,60,validation,distraction,fatigue,0
2,60,validation,distraction,distraction,0
2,60,test,alert,alert,1571
2,60,test,alert,fatigue,0
2,60,test,alert,distraction,0
2,60,test,fatigue,alert,0
2,60,test,fatigue,fatigue,0
2,60,test,fatigue,distraction,0
2,60,test,distraction,alert,293
